Origin,0,0,0,0.1,-2,1,1,0,0,,F_RootHole,B_RootHole,
F_RootHole,0,2,9,0.1,-2,1,1,0,0,front,C507,T501,
C507,094a66,6.8,8.9,6.1,-1,3,1,0.6,270,front,null,D506,
D506,225d6e,2.9,1.35,1.1,-1,3,11.1,0.25,0,front,R503,R518,
R503,055d7d,1.6,3.8,0.6,-1,6.4,11.1,0.25,270,front,null,C509,
C509,7a79e6,8.9,6.6,7.7,-1,6.4,15.4,0.6,0,front,D505,Q504,
D505,fc9803,2,5,1.5,1,23.5,1,0.25,270,front,null,null,
Q504,3282bf,6.85,5.35,1,-1,6.4,23.2,0.25,90,front,C505,null,
C505,092cb8,1.6,3.8,1.6,-1,13.75,23.2,0.25,90,front,null,ZD502,
ZD502,470fff,2.9,1.35,0.78,-1,13.75,27.5,0.25,0,front,D508,null,
D508,ffc72b,2,4.5,1.2,1,24.15,6.5,0.25,270,front,null,null,
R518,3609d9,1.7,0.51,0.51,-1,3,12.95,0.25,0,front,null,null,
T501,cecad488,3.72,22,24.9,0,1,13.96,0.25,0,front,C510,null,
C510,6292d0,8.9,6.6,7.7,-1,5.22,29.35,0.6,180,front,null,null,
B_RootHole,0,2,9,0.1,-2,1,1,0,0,back,R501,L501,
R501,191282,2.6,1.25,0.5,-1,3,1,0.25,0,back,R517,D501,
R517,4e1f8c,2.6,1.25,0.6,-1,6.1,1,0.25,0,back,null,null,
D501,2e6ef0,1.7,4.3,1.45,-1,3,2.75,0.25,270,back,M503,C511,
M503,1a1a1a,14.3,9.4,1.35,0,5.2,2.75,0.25,270,back,null,ZD501,
ZD501,0e5ac4,4.3,1.7,1.45,-1,5.2,12.65,0.25,0,back,C506,null,
C506,1f2a8c,3.8,1.6,1.6,-1,10,12.65,0.25,0,back,null,D503,
D503,2225d6,5,2,1.5,-1,10,14.75,0.25,0,back,ZD504,null,
ZD504,e02900,3.6,6.4,2.3,1,22.5,1,0.25,90,back,null,null,
C511,5a12a6,3.8,1.9,1.9,-1,3,14.85,0.25,0,back,null,null,
L501,368f99,5.2,4.1,2,-1,1,17.25,0.25,0,back,C502,D509,
C502,4595ad,3.8,1.9,1.9,-1,6.7,17.25,0.25,0,back,R520,R526,
R520,9049A1,1.7,0.51,0.51,-1,11,17.25,0.25,0,back,null,null,
R526,0361ad,0.8,2.2,0.45,-1,6.7,19.65,0.25,90,back,C520,null,
C520,7babd1,1.7,0.5,0.5,-1,8,19.65,0.25,0,back,R527,null,
R527,00a5e0,1.7,0.51,0.51,-1,10.2,19.65,0.25,180,back,null,C518,
C518,2e6ef0,0.8,2.2,0.8,-1,10.2,20.66,0.25,270,back,C525,null,
C525,385369,2.2,0.8,0.8,-1,11.5,20.66,0.25,0,back,null,R515,
R515,6857b5,3.8,1.6,0.6,-1,11.5,21.96,0.25,0,back,R532,null,
R532,e0a500,3.8,1.6,0.6,1,22.8,7.9,0.25,0,back,C519,R530,
C519,d49c11,1.25,2.6,1.25,1,27.1,1,0.25,90,back,null,null,
R530,f24b4b,3.8,1.6,0.6,1,22.8,10,0.25,0,back,null,R523,
R523,ad430e,2.2,0.8,0.45,1,22.8,12.1,0.25,0,back,R519,null,
R519,ff8e61,0.51,1.7,0.51,1,25.5,12.1,0.25,270,back,R531,C512,
R531,ff6161,3.8,1.6,0.6,1,26.51,12.1,0.25,180,back,null,null,
C512,f27a46,3.8,1.9,1.9,1,25.5,14.3,0.25,0,back,null,null,
D509,3181f2,4.3,1.7,1.45,-1,1,21.85,0.25,0,back,null,null,
