Origin,0,0,0,0.1,-2,1,1,0,0,,F_RootHole,B_RootHole,
F_RootHole,0,2,9,0.1,-2,1,1,0,0,front,C510,T501,
C510,6292d0,8.9,6.6,7.7,-1,3,1,0.6,180,front,R526,D506,
R526,0361ad,2.2,0.8,0.45,-1,13.1,1,0.25,0,front,null,null,
D506,225d6e,2.9,1.35,1.1,-1,3,8.8,0.25,180,front,C509,null,
C509,7a79e6,8.9,6.6,7.7,-1,6.4,8.8,0.6,180,front,null,null,
T501,cecad488,3.72,22,24.9,0,1,10.65,0.25,0,front,ZD502,null,
ZD502,470fff,2.9,1.35,0.78,-1,5.22,16.6,0.25,0,front,R501,C518,
R501,191282,1.25,2.6,0.5,-1,8.62,16.6,0.25,90,front,Q504,null,
Q504,3282bf,5.35,6.85,1,-1,10.37,16.6,0.25,0,front,C520,null,
C520,7babd1,0.5,1.7,0.5,-1,16.22,16.6,0.25,90,front,R519,null,
R519,ff8e61,1.7,0.51,0.51,1,24.22,1,0.25,0,front,null,D505,
D505,fc9803,2,5,1.5,1,24.22,2.01,0.25,270,front,ZD504,C519,
ZD504,e02900,3.6,6.4,2.3,1,26.72,1,0.25,270,front,null,null,
C519,d49c11,1.25,2.6,1.25,1,24.22,7.51,0.25,90,front,D508,null,
D508,ffc72b,2,4.5,1.2,1,25.97,7.9,0.25,270,front,null,R523,
R523,ad430e,0.8,2.2,0.45,1,25.97,12.9,0.25,90,front,C512,R531,
C512,f27a46,1.9,3.8,1.9,1,27.27,12.9,0.25,90,front,null,null,
R531,ff6161,1.6,3.8,0.6,1,25.97,17.2,0.25,270,front,null,null,
C518,2e6ef0,2.2,0.8,0.8,-1,5.22,18.45,0.25,180,front,null,C507,
C507,094a66,8.9,6.8,6.1,-1,5.22,23.95,0.6,180,front,null,null,
B_RootHole,0,2,9,0.1,-2,1,1,0,0,back,R518,L501,
R518,3609d9,1.7,0.51,0.51,-1,3,1,0.25,180,back,null,D501,
D501,2e6ef0,1.7,4.3,1.45,-1,3,2.01,0.25,270,back,M503,null,
M503,1a1a1a,14.3,9.4,1.35,0,5.2,1,0.25,270,back,null,ZD501,
ZD501,0e5ac4,4.3,1.7,1.45,-1,5.2,10.9,0.25,0,back,R515,null,
R515,6857b5,3.8,1.6,0.6,-1,10,10.9,0.25,180,back,C525,null,
C525,385369,2.2,0.8,0.8,-1,14.3,10.9,0.25,0,back,null,null,
L501,368f99,5.2,4.1,2,-1,1,13.1,0.25,0,back,D509,C502,
D509,3181f2,4.3,1.7,1.45,-1,6.7,13.1,0.25,0,back,C506,null,
C506,1f2a8c,1.6,3.8,1.6,-1,11.5,13,0.25,90,back,null,D503,
D503,2225d6,5,2,1.5,-1,11.5,17.3,0.25,0,back,R532,null,
R532,e0a500,1.6,3.8,0.6,1,24,1,0.25,90,back,null,R530,
R530,f24b4b,3.8,1.6,0.6,1,24,5.3,0.25,0,back,null,null,
C502,4595ad,3.8,1.9,1.9,-1,1,17.7,0.25,180,back,R517,null,
R517,4e1f8c,2.6,1.25,0.6,-1,5.3,17.7,0.25,0,back,R503,null,
R503,055d7d,1.6,3.8,0.6,-1,8.4,15.3,0.25,270,back,C505,C511,
C505,092cb8,1.6,3.8,1.6,-1,10.5,19.8,0.25,90,back,null,R527,
R527,00a5e0,0.51,1.7,0.51,-1,10.5,24.1,0.25,270,back,null,null,
C511,5a12a6,1.9,3.8,1.9,-1,8.4,26.3,0.25,270,back,R520,null,
R520,9049A1,1.7,0.51,0.51,-1,10.8,26.3,0.25,0,back,null,null,
