Origin,0,0,0,0.1,-2,1,1,0,0,,F_RootHole,B_RootHole,
F_RootHole,0,2,9,0.1,-2,1,1,0,0,front,C510,T501,
C510,6292d0,8.9,6.6,7.7,-1,3,1,0.6,0,front,R526,D506,
R526,0361ad,0.8,2.2,0.45,-1,13.1,1,0.25,90,front,R519,null,
R519,ff8e61,1.7,0.51,0.51,1,21.4,1,0.25,0,front,R531,null,
R531,ff6161,3.8,1.6,0.6,1,23.6,1,0.25,180,front,null,C512,
C512,f27a46,3.8,1.9,1.9,1,23.6,3.1,0.25,0,front,null,null,
D506,225d6e,2.9,1.35,1.1,-1,3,8.8,0.25,0,front,R503,R518,
R503,055d7d,1.6,3.8,0.6,-1,6.4,8.8,0.25,270,front,C507,C509,
C507,094a66,6.8,8.9,6.1,-1,8.5,8.8,0.6,270,front,null,null,
C509,7a79e6,8.9,6.6,7.7,-1,6.4,18.9,0.6,0,front,D505,Q504,
D505,fc9803,2,5,1.5,1,23.5,5.5,0.25,270,front,null,null,
Q504,3282bf,6.85,5.35,1,-1,6.4,26.7,0.25,90,front,C505,null,
C505,092cb8,1.6,3.8,1.6,-1,13.75,26.7,0.25,90,front,C520,ZD502,
C520,7babd1,1.7,0.5,0.5,-1,15.85,26.7,0.25,0,front,null,null,
ZD502,470fff,2.9,1.35,0.78,-1,13.75,31,0.25,0,front,D508,R515,
D508,ffc72b,2,4.5,1.2,1,24.15,11,0.25,270,front,null,null,
R515,6857b5,3.8,1.6,0.6,-1,13.75,32.85,0.25,180,front,null,null,
R518,3609d9,1.7,0.51,0.51,-1,3,10.65,0.25,0,front,null,null,
T501,cecad488,3.72,22,24.9,0,1,16,0.25,0,front,null,null,
B_RootHole,0,2,9,0.1,-2,1,1,0,0,back,R520,L501,
R520,9049A1,1.7,0.51,0.51,-1,3,1,0.25,0,back,R517,D501,
R517,4e1f8c,2.6,1.25,0.6,-1,5.2,1,0.25,0,back,null,R527,
R527,00a5e0,0.51,1.7,0.51,-1,5.2,2.75,0.25,270,back,null,C518,
C518,2e6ef0,2.2,0.8,0.8,-1,5.2,4.95,0.25,180,back,C525,null,
C525,385369,2.2,0.8,0.8,-1,7.9,2.75,0.25,0,back,null,null,
D501,2e6ef0,1.7,4.3,1.45,-1,3,2.01,0.25,270,back,M503,C511,
M503,1a1a1a,14.3,9.4,1.35,0,5.2,6.25,0.25,270,back,null,ZD501,
ZD501,0e5ac4,4.3,1.7,1.45,-1,5.2,16.15,0.25,0,back,C506,null,
C506,1f2a8c,3.8,1.6,1.6,-1,10,16.15,0.25,0,back,null,D503,
D503,2225d6,5,2,1.5,-1,10,18.25,0.25,0,back,R532,null,
R532,e0a500,3.8,1.6,0.6,1,22.5,1,0.25,0,back,null,C519,
C519,d49c11,2.6,1.25,1.25,1,22.5,3.1,0.25,0,back,R523,ZD504,
R523,ad430e,2.2,0.8,0.45,1,25.6,3.1,0.25,0,back,R530,null,
R530,f24b4b,3.8,1.6,0.6,1,28.3,1,0.25,0,back,null,null,
ZD504,e02900,3.6,6.4,2.3,1,22.5,4.85,0.25,90,back,null,null,
C511,5a12a6,3.8,1.9,1.9,-1,3,18.35,0.25,0,back,null,null,
L501,368f99,5.2,4.1,2,-1,1,20.75,0.25,0,back,C502,D509,
C502,4595ad,3.8,1.9,1.9,-1,6.7,20.75,0.25,0,back,R501,null,
R501,191282,2.6,1.25,0.5,-1,11,20.75,0.25,0,back,null,null,
D509,3181f2,4.3,1.7,1.45,-1,1,38.8,0.25,0,back,null,null,
