Origin,0,0,0,0.1,-2,1,1,0,0,,F_RootHole,B_RootHole,
F_RootHole,0,2,9,0.1,-2,1,1,0,0,front,C505,T501,
C505,092cb8,3.8,1.6,1.6,-1,3,1,0.25,0,front,R532,C509,
R532,e0a500,3.8,1.6,0.6,1,14.3,1,0.25,0,front,null,R527,
R527,00a5e0,1.7,0.51,0.51,-1,14.3,3.1,0.25,0,front,null,C512,
C512,f27a46,3.8,1.9,1.9,1,14.3,4.11,0.25,0,front,null,D505,
D505,fc9803,5,2,1.5,1,14.3,6.51,0.25,0,front,ZD504,null,
ZD504,e02900,6.4,3.6,2.3,1,19.8,1,0.25,180,front,null,null,
C509,7a79e6,8.9,6.6,7.7,-1,3,3.1,0.6,0,front,D509,C511,
D509,3181f2,1.7,4.3,1.45,-1,13.1,9.01,0.25,270,front,D508,null,
D508,ffc72b,4.5,2,1.2,1,22.3,5.1,0.25,0,front,null,null,
C511,5a12a6,3.8,1.9,1.9,-1,3,10.9,0.25,0,front,L501,R503,
L501,368f99,5.2,4.1,2,-1,7.3,10.9,0.25,0,front,D501,R518,
D501,2e6ef0,4.3,1.7,1.45,-1,13,13.81,0.25,0,front,null,null,
R518,3609d9,1.7,0.51,0.51,-1,7.3,15.5,0.25,0,front,null,null,
R503,055d7d,1.6,3.8,0.6,-1,3,13.3,0.25,270,front,C506,C502,
C506,1f2a8c,3.8,1.6,1.6,-1,5.1,16.51,0.25,0,front,R523,ZD501,
R523,ad430e,2.2,0.8,0.45,1,16.4,16.01,0.25,0,front,null,R519,
R519,ff8e61,1.7,0.51,0.51,1,16.4,17.31,0.25,180,front,null,null,
ZD501,0e5ac4,4.3,1.7,1.45,-1,5.1,18.61,0.25,0,front,null,null,
C502,4595ad,3.8,1.9,1.9,-1,3,20.81,0.25,180,front,null,null,
T501,cecad488,3.72,22,24.9,0,1,23.21,0.25,0,front,D503,null,
D503,2225d6,5,2,1.5,-1,5.22,23.21,0.25,0,front,R530,C525,
R530,f24b4b,3.8,1.6,0.6,1,17.72,18.32,0.25,0,front,R531,null,
R531,ff6161,3.8,1.6,0.6,1,22.02,7.6,0.25,0,front,null,C519,
C519,d49c11,2.6,1.25,1.25,1,22.02,9.7,0.25,0,front,null,null,
C525,385369,2.2,0.8,0.8,-1,5.22,25.71,0.25,0,front,null,R515,
R515,6857b5,1.6,3.8,0.6,-1,5.22,27.01,0.25,90,front,R526,C507,
R526,0361ad,2.2,0.8,0.45,-1,7.32,27.01,0.25,180,front,null,null,
C507,094a66,8.9,6.8,6.1,-1,5.22,31.31,0.6,0,front,null,C510,
C510,6292d0,8.9,6.6,7.7,-1,5.22,39.31,0.6,0,front,null,null,
B_RootHole,0,2,9,0.1,-2,1,1,0,0,back,C518,C520,
C518,2e6ef0,2.2,0.8,0.8,-1,3,1,0.25,0,back,R501,null,
R501,191282,2.6,1.25,0.5,-1,5.7,1,0.25,0,back,ZD502,R520,
ZD502,470fff,2.9,1.35,0.78,-1,8.8,1,0.25,0,back,null,null,
R520,9049A1,1.7,0.51,0.51,-1,5.7,2.75,0.25,180,back,R517,Q504,
R517,4e1f8c,2.6,1.25,0.6,-1,7.9,2.85,0.25,0,back,null,D506,
D506,225d6e,2.9,1.35,1.1,-1,7.9,4.6,0.25,0,back,null,null,
Q504,3282bf,5.35,6.85,1,-1,5.7,6.45,0.25,0,back,null,M503,
M503,1a1a1a,14.3,9.4,1.35,0,5.7,13.8,0.25,270,back,null,null,
C520,7babd1,0.5,1.7,0.5,-1,1,10,0.25,270,back,null,null,
